+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
|    80 |   0 |     9 |   0 |   71 |   0 | GET    | /api/trend                    | 0.044 | 1.008 |  72.544 | 0.907 | 1.004 | 1.004 | 1.008 |  0.252 |      0.000 |   4791.000 |    41212.000 |    515.150 |
|     1 |   0 |     1 |   0 |    0 |   0 | POST   | /initialize                   | 0.540 | 0.540 |   0.540 | 0.540 | 0.540 | 0.540 | 0.540 |  0.000 |     23.000 |     23.000 |       23.000 |     23.000 |
|   408 |   0 |   333 |   0 |   75 |   0 | GET    | /api/isu                      | 0.188 | 1.992 |  87.216 | 0.214 | 0.580 | 1.000 | 1.308 |  0.291 |      0.000 |   4624.000 |   961592.000 |   2356.843 |
|  2086 |   0 |  1827 |   0 |  259 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.020 | 2.056 | 193.451 | 0.093 | 0.168 | 0.216 | 0.340 |  0.100 |      0.000 |   7014.000 | 10655709.000 |   5108.202 |
|  2357 |   0 |  2218 |   0 |  139 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.008 | 1.064 | 210.010 | 0.089 | 0.164 | 0.264 | 1.000 |  0.144 |     14.000 | 135259.000 | 57489119.000 |  24390.801 |
|    55 |   0 |    51 |   0 |    4 |   0 | POST   | /api/isu                      | 0.008 | 0.216 |   4.752 | 0.086 | 0.128 | 0.152 | 0.216 |  0.034 |     15.000 |    148.000 |     7056.000 |    128.291 |
|   735 |   0 |   553 |   0 |  182 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 1.080 |  56.201 | 0.076 | 0.144 | 0.180 | 0.296 |  0.082 |     14.000 |   7773.000 |  2677422.000 |   3642.751 |
|   443 |   0 |   332 |   0 |  111 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 1.000 |  23.945 | 0.054 | 0.112 | 0.172 | 0.436 |  0.086 |      0.000 |    148.000 |    47113.000 |    106.350 |
|   471 |   0 |   171 |   0 |  300 |   0 | POST   | /api/auth                     | 0.004 | 1.932 |  13.668 | 0.029 | 0.044 | 0.088 | 0.672 |  0.128 |      0.000 |     19.000 |     3404.000 |      7.227 |
|    91 |   0 |    52 |   0 |   39 |   0 | POST   | /api/signout                  | 0.012 | 0.252 |   1.488 | 0.016 | 0.036 | 0.044 | 0.252 |  0.030 |      0.000 |     21.000 |      819.000 |      9.000 |
|   147 |   0 |    60 |   0 |   87 |   0 | GET    | /api/user/me                  | 0.032 | 0.152 |   1.684 | 0.011 | 0.040 | 0.056 | 0.100 |  0.022 |     21.000 |     42.000 |     3978.000 |     27.061 |
| 70014 |   0 | 66512 |   0 | 3502 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 1.144 | 685.232 | 0.010 | 0.036 | 0.080 | 0.100 |  0.031 |      0.000 |     14.000 |       84.000 |      0.001 |
|   154 |   0 |    83 |  71 |    0 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.004 | 0.020 |   0.436 | 0.003 | 0.008 | 0.008 | 0.016 |  0.004 | 743417.000 | 743417.000 | 61703611.000 | 400672.799 |
|    82 |   0 |    82 |   0 |    0 |   0 | GET    | /assets/logo_orange.svg       | 0.004 | 0.020 |   0.208 | 0.003 | 0.008 | 0.008 | 0.020 |  0.003 |   3288.000 |   3288.000 |   269616.000 |   3288.000 |
|   154 |   0 |    83 |  71 |    0 |   0 | GET    | /assets/favicon.d0f5f504.svg  | 0.004 | 0.020 |   0.352 | 0.002 | 0.004 | 0.012 | 0.016 |  0.004 |    592.000 |    592.000 |    49136.000 |    319.065 |
|   154 |   0 |    83 |  71 |    0 |   0 | GET    | /assets/index.144d8ca8.css    | 0.004 | 0.024 |   0.308 | 0.002 | 0.004 | 0.008 | 0.016 |  0.004 |  19066.000 |  19066.000 |  1582478.000 |  10275.831 |
|   154 |   0 |    83 |  71 |    0 |   0 | GET    | /assets/index.23dac98b.js     | 0.004 | 0.016 |   0.304 | 0.002 | 0.004 | 0.008 | 0.016 |  0.003 |  26667.000 |  26667.000 |  2213361.000 |  14372.474 |
|   154 |   0 |    83 |  71 |    0 |   0 | GET    | /assets/logo_white.svg        | 0.004 | 0.020 |   0.276 | 0.002 | 0.004 | 0.004 | 0.012 |  0.003 |   3285.000 |   3285.000 |   272655.000 |   1770.487 |
|   182 |   0 |   143 |  39 |    0 |   0 | GET    | /                             | 0.004 | 0.012 |   0.280 | 0.002 | 0.004 | 0.004 | 0.012 |  0.003 |    528.000 |    528.000 |    75504.000 |    414.857 |
|     3 |   0 |     1 |   2 |    0 |   0 | GET    | /register                     | 0.000 | 0.004 |   0.004 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |      0.000 |    528.000 |      528.000 |    176.000 |
|    18 |   0 |     6 |  12 |    0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+/condition | 0.000 | 0.008 |   0.012 | 0.001 | 0.004 | 0.008 | 0.008 |  0.002 |      0.000 |    528.000 |     3168.000 |    176.000 |
|    12 |   0 |    12 |   0 |    0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+           | 0.000 | 0.000 |   0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |    528.000 |    528.000 |     6336.000 |    528.000 |
+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
