+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
|   115 |   0 |    58 |   0 |   57 |   0 | GET    | /api/trend                    | 0.028 | 1.008 |  94.332 | 0.820 | 1.004 | 1.004 | 1.008 |  0.260 |     0.000 |   8204.000 |   426377.000 |   3707.626 |
|     1 |   0 |     1 |   0 |    0 |   0 | POST   | /initialize                   | 0.488 | 0.488 |   0.488 | 0.488 | 0.488 | 0.488 | 0.488 |  0.000 |    23.000 |     23.000 |       23.000 |     23.000 |
|   551 |   0 |   479 |   0 |   72 |   0 | GET    | /api/isu                      | 0.048 | 2.052 |  69.199 | 0.126 | 0.172 | 0.892 | 1.004 |  0.230 |     3.000 |   4734.000 |  1436488.000 |   2607.056 |
|    55 |   0 |    51 |   0 |    4 |   0 | POST   | /api/isu                      | 0.004 | 0.172 |   4.460 | 0.081 | 0.100 | 0.152 | 0.172 |  0.030 |    15.000 |    154.000 |     7136.000 |    129.745 |
|  3441 |   0 |  3281 |   0 |  160 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 2.032 | 275.313 | 0.080 | 0.128 | 0.200 | 1.000 |  0.184 |    14.000 | 135259.000 | 84003016.000 |  24412.385 |
|  2679 |   0 |  2381 |   0 |  298 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 2.032 | 189.885 | 0.071 | 0.128 | 0.168 | 0.276 |  0.091 |     0.000 |   7243.000 | 13988648.000 |   5221.593 |
|   891 |   0 |   683 |   0 |  208 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 1.016 |  52.604 | 0.059 | 0.108 | 0.140 | 0.268 |  0.065 |     0.000 |   7467.000 |  3294363.000 |   3697.377 |
|   599 |   0 |   475 |   0 |  124 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.012 | 0.996 |  26.732 | 0.045 | 0.084 | 0.128 | 0.400 |  0.076 |    14.000 |    154.000 |    67576.000 |    112.815 |
|   119 |   0 |    74 |   0 |   45 |   0 | POST   | /api/signout                  | 0.000 | 0.920 |   4.232 | 0.036 | 0.040 | 0.096 | 0.812 |  0.133 |    21.000 |     21.000 |      903.000 |      7.588 |
|   536 |   0 |   204 |   0 |  332 |   0 | POST   | /api/auth                     | 0.004 | 2.996 |  14.749 | 0.028 | 0.044 | 0.072 | 0.224 |  0.149 |     0.000 |     19.000 |     3772.000 |      7.037 |
|   195 |   0 |    82 |   0 |  113 |   0 | GET    | /api/user/me                  | 0.004 | 0.368 |   2.880 | 0.015 | 0.036 | 0.072 | 0.172 |  0.036 |    21.000 |     43.000 |     5412.000 |     27.754 |
| 70431 |   0 | 67275 |   0 | 3156 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 1.288 | 743.125 | 0.011 | 0.032 | 0.076 | 0.100 |  0.033 |     0.000 |     14.000 |       70.000 |      0.001 |
|   193 |   0 |   105 |  88 |    0 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.004 | 0.028 |   0.748 | 0.004 | 0.008 | 0.012 | 0.024 |  0.005 |     0.000 | 743417.000 | 78058785.000 | 404449.663 |
