+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
|   165 |   0 |    87 |   0 |   78 |   0 | GET    | /api/trend                    | 0.024 | 1.424 | 140.494 | 0.851 | 1.000 | 1.004 | 1.024 |  0.239 |      0.000 |   8216.000 |    663826.000 |   4023.188 |
|     1 |   0 |     1 |   0 |    0 |   0 | POST   | /initialize                   | 0.508 | 0.508 |   0.508 | 0.508 | 0.508 | 0.508 | 0.508 |  0.000 |     23.000 |     23.000 |        23.000 |     23.000 |
|   637 |   0 |   579 |   0 |   58 |   0 | GET    | /api/isu                      | 0.004 | 1.032 |  58.297 | 0.092 | 0.140 | 0.208 | 0.904 |  0.135 |      0.000 |   4609.000 |   1707793.000 |   2680.994 |
|    55 |   0 |    51 |   0 |    4 |   0 | POST   | /api/isu                      | 0.008 | 0.144 |   4.084 | 0.074 | 0.092 | 0.100 | 0.144 |  0.023 |     15.000 |    154.000 |      7111.000 |    129.291 |
|  3077 |   0 |  2757 |   0 |  320 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.016 | 1.560 | 210.699 | 0.068 | 0.128 | 0.164 | 0.284 |  0.067 |      0.000 |   7123.000 |  15931393.000 |   5177.573 |
|   954 |   0 |   728 |   0 |  226 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.020 | 1.000 |  60.426 | 0.063 | 0.116 | 0.156 | 0.256 |  0.058 |      0.000 |   8225.000 |   3582979.000 |   3755.743 |
|   712 |   0 |   576 |   0 |  136 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.040 | 1.004 |  29.705 | 0.042 | 0.088 | 0.112 | 0.224 |  0.059 |     14.000 |    154.000 |     81560.000 |    114.551 |
|  4123 |   0 |  3967 |   0 |  156 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 1.584 | 165.484 | 0.040 | 0.068 | 0.100 | 0.296 |  0.106 |      0.000 | 135259.000 | 103939177.000 |  25209.599 |
|   150 |   0 |   101 |   0 |   49 |   0 | POST   | /api/signout                  | 0.004 | 1.000 |   4.680 | 0.031 | 0.040 | 0.080 | 0.908 |  0.112 |      0.000 |     21.000 |       987.000 |      6.580 |
|   606 |   0 |   244 |   0 |  362 |   0 | POST   | /api/auth                     | 0.004 | 1.236 |  11.172 | 0.018 | 0.036 | 0.056 | 0.156 |  0.069 |      0.000 |     19.000 |      4140.000 |      6.832 |
|   253 |   0 |   109 |   0 |  144 |   0 | GET    | /api/user/me                  | 0.004 | 0.292 |   3.624 | 0.014 | 0.036 | 0.048 | 0.140 |  0.029 |     21.000 |     40.000 |      7013.000 |     27.719 |
