+-------+-----+-------+-----+-----+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
|   294 |   0 |   196 |   0 |  98 |   0 | GET    | /api/trend                    | 0.024 | 1.032 | 228.978 | 0.779 | 1.000 | 1.004 | 1.008 |  0.224 |     0.000 |   8425.000 |   1512719.000 |   5145.303 |
|     1 |   0 |     1 |   0 |   0 |   0 | POST   | /initialize                   | 0.552 | 0.552 |   0.552 | 0.552 | 0.552 | 0.552 | 0.552 |  0.000 |    23.000 |     23.000 |        23.000 |     23.000 |
|    58 |   0 |    54 |   0 |   4 |   0 | POST   | /api/isu                      | 0.008 | 0.168 |   4.656 | 0.080 | 0.112 | 0.128 | 0.168 |  0.029 |    15.000 |    154.000 |      7512.000 |    129.517 |
|   978 |   0 |   924 |   0 |  54 |   0 | GET    | /api/isu                      | 0.008 | 1.136 |  77.682 | 0.079 | 0.120 | 0.140 | 0.508 |  0.092 |     0.000 |  10000.000 |   2586273.000 |   2644.451 |
|  1162 |   0 |   919 |   0 | 243 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 1.096 |  69.194 | 0.060 | 0.104 | 0.120 | 0.168 |  0.057 |     0.000 |   7557.000 |   4530769.000 |   3899.113 |
|  4097 |   0 |  3807 |   0 | 290 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.884 | 207.418 | 0.051 | 0.088 | 0.108 | 0.164 |  0.039 |     0.000 |   6983.000 |  21597581.000 |   5271.560 |
|  1073 |   0 |   927 |   0 | 146 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.016 | 0.980 |  39.568 | 0.037 | 0.072 | 0.092 | 0.156 |  0.042 |     0.000 |    154.000 |    129847.000 |    121.013 |
|  6199 |   0 |  6053 |   0 | 146 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 0.428 | 172.178 | 0.028 | 0.052 | 0.068 | 0.120 |  0.027 |     0.000 | 135259.000 | 170657750.000 |  27529.884 |
|   209 |   0 |   158 |   0 |  51 |   0 | POST   | /api/signout                  | 0.004 | 0.696 |   4.140 | 0.020 | 0.036 | 0.048 | 0.076 |  0.049 |    21.000 |     21.000 |      1071.000 |      5.124 |
|   707 |   0 |   314 |   0 | 393 |   0 | POST   | /api/auth                     | 0.004 | 1.000 |  12.844 | 0.018 | 0.036 | 0.048 | 0.096 |  0.042 |     0.000 |     19.000 |      4508.000 |      6.376 |
|   372 |   0 |   167 |   0 | 205 |   0 | GET    | /api/user/me                  | 0.008 | 0.224 |   4.957 | 0.013 | 0.032 | 0.044 | 0.088 |  0.020 |    21.000 |     42.000 |     10579.000 |     28.438 |
| 78392 |   0 | 77747 |   0 | 645 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.003 | 0.280 | 746.400 | 0.010 | 0.024 | 0.044 | 0.084 |  0.016 |     0.000 |     14.000 |        42.000 |      0.001 |
|   400 |   0 |   193 | 207 |   0 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.012 | 0.032 |   1.988 | 0.005 | 0.012 | 0.016 | 0.028 |  0.006 |     0.000 | 743417.000 | 143479481.000 | 358698.703 |
|   296 |   0 |   192 | 104 |   0 |   0 | GET    | /assets/logo_orange.svg       | 0.004 | 0.052 |   1.288 | 0.004 | 0.012 | 0.016 | 0.024 |  0.006 |  3288.000 |   3288.000 |    631296.000 |   2132.757 |
|   400 |   0 |   193 | 207 |   0 |   0 | GET    | /assets/favicon.d0f5f504.svg  | 0.012 | 0.032 |   1.676 | 0.004 | 0.012 | 0.012 | 0.020 |  0.005 |     0.000 |    592.000 |    114256.000 |    285.640 |
|   400 |   0 |   193 | 207 |   0 |   0 | GET    | /assets/index.23dac98b.js     | 0.012 | 0.028 |   1.552 | 0.004 | 0.008 | 0.012 | 0.020 |  0.005 |     0.000 |  26667.000 |   5146731.000 |  12866.827 |
|   400 |   0 |   193 | 207 |   0 |   0 | GET    | /assets/logo_white.svg        | 0.000 | 0.052 |   1.528 | 0.004 | 0.008 | 0.012 | 0.024 |  0.005 |     0.000 |   3285.000 |    634005.000 |   1585.013 |
|   515 |   0 |   360 | 155 |   0 |   0 | GET    | /                             | 0.008 | 0.036 |   1.840 | 0.004 | 0.008 | 0.012 | 0.020 |  0.005 |     0.000 |    528.000 |    190080.000 |    369.087 |
|   400 |   0 |   193 | 207 |   0 |   0 | GET    | /assets/index.144d8ca8.css    | 0.004 | 0.032 |   1.412 | 0.004 | 0.008 | 0.012 | 0.020 |  0.005 |     0.000 |  19066.000 |   3679738.000 |   9199.345 |
