+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
|     1 |   0 |     1 |   0 |    0 |   0 | POST   | /initialize                   | 1.032 | 1.032 |    1.032 | 1.032 | 1.032 | 1.032 | 1.032 |  0.000 |     23.000 |     23.000 |        23.000 |     23.000 |
|   315 |   0 |   249 |   0 |   66 |   0 | GET    | /api/trend                    | 0.020 | 1.900 |  211.282 | 0.671 | 1.000 | 1.276 | 1.752 |  0.348 |      0.000 |   8208.000 |   1904418.000 |   6045.771 |
|    55 |   0 |    51 |   0 |    4 |   0 | POST   | /api/isu                      | 0.008 | 0.188 |    5.944 | 0.108 | 0.176 | 0.180 | 0.188 |  0.043 |     15.000 |    154.000 |      7161.000 |    130.200 |
|  1341 |   0 |  1286 |   0 |   55 |   0 | GET    | /api/isu                      | 0.004 | 0.516 |   91.546 | 0.068 | 0.116 | 0.136 | 0.200 |  0.043 |      0.000 |   4653.000 |   4080751.000 |   3043.066 |
|  1278 |   0 |  1007 |   0 |  271 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.036 | 1.064 |   59.198 | 0.046 | 0.084 | 0.100 | 0.172 |  0.056 |     14.000 |   6876.000 |   4389366.000 |   3434.559 |
|  3645 |   0 |  3325 |   0 |  320 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 1.240 |  136.353 | 0.037 | 0.064 | 0.080 | 0.196 |  0.055 |      0.000 |   7303.000 |  18007305.000 |   4940.276 |
|  1432 |   0 |  1269 |   0 |  163 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 1.008 |   34.374 | 0.024 | 0.048 | 0.064 | 0.096 |  0.033 |      0.000 |    154.000 |    180853.000 |    126.294 |
|  9529 |   0 |  9355 |   0 |  174 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 1.056 |  222.730 | 0.023 | 0.040 | 0.052 | 0.088 |  0.049 |      0.000 | 135259.000 | 245373632.000 |  25750.198 |
| 67864 |   0 | 61854 |   0 | 6010 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.000 | 1.100 | 1136.130 | 0.017 | 0.044 | 0.100 | 0.108 |  0.034 |      0.000 |     14.000 |        84.000 |      0.001 |
|   833 |   0 |   401 |   0 |  432 |   0 | POST   | /api/auth                     | 0.004 | 0.704 |   12.768 | 0.015 | 0.032 | 0.040 | 0.056 |  0.027 |      0.000 |     19.000 |      4968.000 |      5.964 |
|   287 |   0 |   231 |   0 |   56 |   0 | POST   | /api/signout                  | 0.004 | 0.164 |    3.976 | 0.014 | 0.028 | 0.044 | 0.088 |  0.017 |      0.000 |     21.000 |      1176.000 |      4.098 |
|   522 |   0 |   239 |   0 |  283 |   0 | GET    | /api/user/me                  | 0.004 | 0.096 |    5.520 | 0.011 | 0.028 | 0.036 | 0.064 |  0.013 |     21.000 |     45.000 |     14577.000 |     27.925 |
|   406 |   0 |   262 | 144 |    0 |   0 | GET    | /assets/favicon.d0f5f504.svg  | 0.000 | 1.004 |    3.556 | 0.009 | 0.016 | 0.020 | 0.040 |  0.050 |    592.000 |    592.000 |    155104.000 |    382.030 |
|   406 |   0 |   262 | 144 |    0 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.004 | 0.052 |    3.120 | 0.008 | 0.016 | 0.020 | 0.044 |  0.008 | 743417.000 | 743417.000 | 194775254.000 | 479742.005 |
|   317 |   0 |   261 |  56 |    0 |   0 | GET    | /assets/logo_orange.svg       | 0.004 | 0.068 |    2.208 | 0.007 | 0.016 | 0.020 | 0.052 |  0.008 |   3288.000 |   3288.000 |    858168.000 |   2707.155 |
|   406 |   0 |   262 | 144 |    0 |   0 | GET    | /assets/logo_white.svg        | 0.004 | 0.064 |    2.672 | 0.007 | 0.016 | 0.016 | 0.040 |  0.008 |   3285.000 |   3285.000 |    860670.000 |   2119.877 |
|   406 |   0 |   262 | 144 |    0 |   0 | GET    | /assets/index.23dac98b.js     | 0.004 | 0.052 |    2.416 | 0.006 | 0.012 | 0.016 | 0.040 |  0.007 |  26667.000 |  26667.000 |   6986754.000 |  17208.754 |
|   613 |   0 |   501 | 112 |    0 |   0 | GET    | /                             | 0.008 | 0.112 |    3.437 | 0.006 | 0.012 | 0.016 | 0.032 |  0.008 |    528.000 |    528.000 |    264528.000 |    431.530 |
|   406 |   0 |   262 | 144 |    0 |   0 | GET    | /assets/index.144d8ca8.css    | 0.000 | 0.048 |    2.112 | 0.005 | 0.012 | 0.016 | 0.024 |  0.006 |  19066.000 |  19066.000 |   4995292.000 |  12303.675 |
|     3 |   0 |     1 |   2 |    0 |   0 | GET    | /register                     | 0.000 | 0.004 |    0.004 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |      0.000 |    528.000 |       528.000 |    176.000 |
|    18 |   0 |     6 |  12 |    0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+/condition | 0.004 | 0.004 |    0.016 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |      0.000 |    528.000 |      3168.000 |    176.000 |
|    12 |   0 |    12 |   0 |    0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+           | 0.000 | 0.004 |    0.004 | 0.000 | 0.000 | 0.004 | 0.004 |  0.001 |    528.000 |    528.000 |      6336.000 |    528.000 |
+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
