+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
|     1 |   0 |     1 |   0 |    0 |   0 | POST   | /initialize                   | 1.084 | 1.084 |    1.084 | 1.084 | 1.084 | 1.084 | 1.084 |  0.000 |    23.000 |     23.000 |        23.000 |     23.000 |
|   496 |   0 |   366 |   0 |  130 |   0 | GET    | /api/trend                    | 0.028 | 1.044 |  372.756 | 0.752 | 1.000 | 1.004 | 1.016 |  0.230 |     0.000 |   8583.000 |   2919951.000 |   5886.998 |
|    60 |   0 |    56 |   0 |    4 |   0 | POST   | /api/isu                      | 0.008 | 0.232 |    5.968 | 0.099 | 0.152 | 0.172 | 0.232 |  0.040 |    15.000 |    151.000 |      7770.000 |    129.500 |
|  1030 |   0 |   982 |   0 |   48 |   0 | GET    | /api/isu                      | 0.004 | 0.284 |   84.198 | 0.082 | 0.137 | 0.168 | 0.224 |  0.045 |     0.000 |   4622.000 |   2460896.000 |   2389.219 |
|  1233 |   0 |  1001 |   0 |  232 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.048 | 0.248 |   81.396 | 0.066 | 0.120 | 0.136 | 0.184 |  0.039 |     0.000 |   7917.000 |   4677148.000 |   3793.307 |
|  3796 |   0 |  3524 |   0 |  272 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.008 | 0.588 |  207.459 | 0.055 | 0.096 | 0.116 | 0.172 |  0.035 |     0.000 |   7303.000 |  19713127.000 |   5193.131 |
|  1122 |   0 |   979 |   0 |  143 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.328 |   46.686 | 0.042 | 0.080 | 0.100 | 0.168 |  0.034 |     0.000 |    151.000 |    137283.000 |    122.356 |
|  6042 |   0 |  5902 |   0 |  140 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 0.540 |  195.687 | 0.032 | 0.060 | 0.076 | 0.140 |  0.028 |     0.000 | 135259.000 | 159213753.000 |  26351.167 |
|   243 |   0 |   194 |   0 |   49 |   0 | POST   | /api/signout                  | 0.004 | 0.156 |    5.225 | 0.022 | 0.044 | 0.060 | 0.108 |  0.021 |    21.000 |     21.000 |      1029.000 |      4.235 |
|   721 |   0 |   345 |   0 |  376 |   0 | POST   | /api/auth                     | 0.004 | 0.164 |   14.728 | 0.020 | 0.044 | 0.060 | 0.092 |  0.020 |     0.000 |     19.000 |      4324.000 |      5.997 |
|   443 |   0 |   204 |   0 |  239 |   0 | GET    | /api/user/me                  | 0.004 | 0.244 |    7.144 | 0.016 | 0.040 | 0.056 | 0.092 |  0.023 |    21.000 |     44.000 |     12859.000 |     29.027 |
| 77220 |   0 | 73898 |   0 | 3322 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.192 | 1146.586 | 0.015 | 0.036 | 0.084 | 0.104 |  0.024 |     0.000 |     14.000 |        98.000 |      0.001 |
|   580 |   0 |   233 | 347 |    0 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.004 | 0.056 |    4.092 | 0.007 | 0.016 | 0.020 | 0.036 |  0.007 |     0.000 | 743417.000 | 173216161.000 | 298648.553 |
|   580 |   0 |   233 | 347 |    0 |   0 | GET    | /assets/index.23dac98b.js     | 0.008 | 0.064 |    3.740 | 0.006 | 0.016 | 0.016 | 0.032 |  0.007 |     0.000 |  26667.000 |   6213411.000 |  10712.778 |
|   498 |   0 |   232 | 266 |    0 |   0 | GET    | /assets/logo_orange.svg       | 0.004 | 0.052 |    3.172 | 0.006 | 0.012 | 0.020 | 0.032 |  0.007 |  3288.000 |   3288.000 |    762816.000 |   1531.759 |
|   580 |   0 |   233 | 347 |    0 |   0 | GET    | /assets/favicon.d0f5f504.svg  | 0.008 | 0.052 |    3.684 | 0.006 | 0.016 | 0.016 | 0.024 |  0.006 |     0.000 |    592.000 |    137936.000 |    237.821 |
|   752 |   0 |   437 | 315 |    0 |   0 | GET    | /                             | 0.004 | 0.060 |    4.640 | 0.006 | 0.016 | 0.020 | 0.032 |  0.007 |     0.000 |    528.000 |    230736.000 |    306.830 |
|   580 |   0 |   233 | 347 |    0 |   0 | GET    | /assets/logo_white.svg        | 0.004 | 0.072 |    3.576 | 0.006 | 0.012 | 0.020 | 0.032 |  0.007 |     0.000 |   3285.000 |    765405.000 |   1319.664 |
|   580 |   0 |   233 | 347 |    0 |   0 | GET    | /assets/index.144d8ca8.css    | 0.008 | 0.044 |    3.312 | 0.006 | 0.012 | 0.016 | 0.028 |  0.006 |     0.000 |  19066.000 |   4442378.000 |   7659.272 |
|    12 |   0 |    12 |   0 |    0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+           | 0.000 | 0.004 |    0.012 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |   528.000 |    528.000 |      6336.000 |    528.000 |
|    18 |   0 |     6 |  12 |    0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+/condition | 0.004 | 0.004 |    0.016 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |     0.000 |    528.000 |      3168.000 |    176.000 |
|     3 |   0 |     1 |   2 |    0 |   0 | GET    | /register                     | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |       528.000 |    176.000 |
+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
