+--------+-----+--------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| COUNT  | 1XX |  2XX   | 3XX |  4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
|      2 |   0 |      2 |   0 |     0 |   0 | POST   | /initialize                   | 1.084 | 1.096 |    2.180 | 1.090 | 1.096 | 1.096 | 1.096 |  0.006 |    23.000 |     23.000 |        46.000 |     23.000 |
|    592 |   0 |    384 |   0 |   208 |   0 | GET    | /api/trend                    | 0.012 | 1.184 |  443.501 | 0.749 | 1.004 | 1.008 | 1.024 |  0.273 |     0.000 |   8433.000 |   3026431.000 |   5112.215 |
|    116 |   0 |    108 |   0 |     8 |   0 | POST   | /api/isu                      | 0.004 | 0.440 |   11.720 | 0.101 | 0.164 | 0.192 | 0.300 |  0.054 |    15.000 |    154.000 |     14993.000 |    129.250 |
|   1566 |   0 |   1465 |   0 |   101 |   0 | GET    | /api/isu                      | 0.016 | 1.000 |  122.755 | 0.078 | 0.132 | 0.156 | 0.272 |  0.065 |     3.000 |   4686.000 |   3964221.000 |   2531.431 |
|   2105 |   0 |   1618 |   0 |   487 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 0.476 |  133.560 | 0.063 | 0.116 | 0.136 | 0.200 |  0.045 |    14.000 |   9411.000 |   9433921.000 |   4481.673 |
|   9136 |   0 |   8550 |   0 |   586 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.008 | 1.016 |  496.621 | 0.054 | 0.096 | 0.116 | 0.172 |  0.041 |     0.000 |   7243.000 |  50158117.000 |   5490.162 |
|   1763 |   0 |   1467 |   0 |   296 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.440 |   59.981 | 0.034 | 0.068 | 0.084 | 0.148 |  0.030 |    14.000 |    154.000 |    206970.000 |    117.396 |
|   9647 |   0 |   9350 |   0 |   297 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 1.004 |  277.062 | 0.029 | 0.056 | 0.072 | 0.124 |  0.039 |     0.000 | 135259.000 | 267733899.000 |  27753.073 |
| 136467 |   0 | 119336 |   0 | 17131 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.476 | 3007.525 | 0.022 | 0.100 | 0.100 | 0.108 |  0.034 |     0.000 |     14.000 |       266.000 |      0.002 |
|    367 |   0 |    263 |   0 |   104 |   0 | POST   | /api/signout                  | 0.004 | 0.356 |    6.781 | 0.018 | 0.040 | 0.056 | 0.104 |  0.026 |    21.000 |     21.000 |      2163.000 |      5.894 |
|   1370 |   0 |    578 |   0 |   792 |   0 | POST   | /api/auth                     | 0.004 | 0.548 |   24.880 | 0.018 | 0.036 | 0.048 | 0.092 |  0.027 |     0.000 |     19.000 |      9108.000 |      6.648 |
|    639 |   0 |    281 |   0 |   358 |   0 | GET    | /api/user/me                  | 0.000 | 0.388 |    8.952 | 0.014 | 0.036 | 0.048 | 0.080 |  0.026 |    21.000 |     45.000 |     17960.000 |     28.106 |
|    765 |   0 |    333 | 432 |     0 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.000 | 0.064 |    5.376 | 0.007 | 0.016 | 0.024 | 0.036 |  0.008 |     0.000 | 743417.000 | 247557861.000 | 323605.047 |
|    596 |   0 |    331 | 265 |     0 |   0 | GET    | /assets/logo_orange.svg       | 0.048 | 0.316 |    4.168 | 0.007 | 0.016 | 0.020 | 0.040 |  0.015 |  3288.000 |   3288.000 |   1088328.000 |   1826.054 |
|    765 |   0 |    333 | 432 |     0 |   0 | GET    | /assets/index.23dac98b.js     | 0.000 | 0.076 |    4.924 | 0.006 | 0.016 | 0.020 | 0.032 |  0.008 |     0.000 |  26667.000 |   8880111.000 |  11607.988 |
|    765 |   0 |    333 | 432 |     0 |   0 | GET    | /assets/favicon.d0f5f504.svg  | 0.000 | 0.076 |    4.820 | 0.006 | 0.016 | 0.020 | 0.032 |  0.008 |     0.000 |    592.000 |    197136.000 |    257.694 |
|    765 |   0 |    333 | 432 |     0 |   0 | GET    | /assets/logo_white.svg        | 0.004 | 0.100 |    4.524 | 0.006 | 0.016 | 0.020 | 0.040 |  0.008 |     0.000 |   3285.000 |   1093905.000 |   1429.941 |
|    765 |   0 |    333 | 432 |     0 |   0 | GET    | /assets/index.144d8ca8.css    | 0.000 | 0.052 |    4.280 | 0.006 | 0.012 | 0.016 | 0.028 |  0.006 |     0.000 |  19066.000 |   6348978.000 |   8299.318 |
|    982 |   0 |    614 | 368 |     0 |   0 | GET    | /                             | 0.000 | 0.056 |    5.432 | 0.006 | 0.012 | 0.020 | 0.032 |  0.007 |     0.000 |    528.000 |    324192.000 |    330.134 |
|     36 |   0 |     12 |  24 |     0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+/condition | 0.000 | 0.004 |    0.024 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |     0.000 |    528.000 |      6336.000 |    176.000 |
|      6 |   0 |      2 |   4 |     0 |   0 | GET    | /register                     | 0.000 | 0.004 |    0.004 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |     0.000 |    528.000 |      1056.000 |    176.000 |
|     24 |   0 |     24 |   0 |     0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+           | 0.000 | 0.004 |    0.004 | 0.000 | 0.000 | 0.000 | 0.004 |  0.001 |   528.000 |    528.000 |     12672.000 |    528.000 |
+--------+-----+--------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
