+-------+-----+-------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX |  4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
|   224 |   0 |   144 |   0 |    80 |   0 | GET    | /api/trend                    | 0.028 | 2.108 |  182.370 | 0.814 | 1.004 | 1.004 | 1.012 |  0.261 |     0.000 |   8437.000 |   1132438.000 |   5055.527 |
|     1 |   0 |     1 |   0 |     0 |   0 | POST   | /initialize                   | 0.568 | 0.568 |    0.568 | 0.568 | 0.568 | 0.568 | 0.568 |  0.000 |    23.000 |     23.000 |        23.000 |     23.000 |
|    58 |   0 |    54 |   0 |     4 |   0 | POST   | /api/isu                      | 0.008 | 0.176 |    4.836 | 0.083 | 0.112 | 0.128 | 0.176 |  0.029 |    15.000 |    154.000 |      7510.000 |    129.483 |
|   588 |   0 |   540 |   0 |    48 |   0 | GET    | /api/isu                      | 0.076 | 0.492 |   43.118 | 0.073 | 0.132 | 0.156 | 0.224 |  0.050 |     3.000 |  10000.000 |   1425116.000 |   2423.667 |
|   909 |   0 |   664 |   0 |   245 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 1.352 |   62.173 | 0.068 | 0.124 | 0.156 | 0.264 |  0.067 |     0.000 |  10672.000 |   4737863.000 |   5212.171 |
|  4987 |   0 |  4696 |   0 |   291 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.012 | 1.332 |  292.896 | 0.059 | 0.104 | 0.124 | 0.180 |  0.043 |     0.000 |   7303.000 |  28057292.000 |   5626.086 |
|   692 |   0 |   547 |   0 |   145 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.016 | 1.372 |   25.356 | 0.037 | 0.068 | 0.088 | 0.148 |  0.059 |    14.000 |    154.000 |     77772.000 |    112.387 |
| 59319 |   0 | 43743 |   0 | 15576 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.008 | 1.412 | 2017.034 | 0.034 | 0.100 | 0.104 | 0.108 |  0.055 |     0.000 |     14.000 |       364.000 |      0.006 |
|  3507 |   0 |  3362 |   0 |   145 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 1.324 |   98.693 | 0.028 | 0.056 | 0.072 | 0.128 |  0.036 |    14.000 | 135259.000 |  95701697.000 |  27288.764 |
|   638 |   0 |   253 |   0 |   385 |   0 | POST   | /api/auth                     | 0.004 | 0.224 |   11.277 | 0.018 | 0.036 | 0.060 | 0.108 |  0.022 |     0.000 |     19.000 |      4416.000 |      6.922 |
