+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
|   172 |   0 |   114 |   0 |   58 |   0 | GET    | /api/trend                    | 0.024 | 1.009 |  133.455 | 0.776 | 1.000 | 1.004 | 1.008 |  0.276 |     0.000 |   8204.000 |   870643.000 |   5061.878 |
|     1 |   0 |     1 |   0 |    0 |   0 | POST   | /initialize                   | 0.536 | 0.536 |    0.536 | 0.536 | 0.536 | 0.536 | 0.536 |  0.000 |    23.000 |     23.000 |       23.000 |     23.000 |
|    55 |   0 |    51 |   0 |    4 |   0 | POST   | /api/isu                      | 0.008 | 0.124 |    4.236 | 0.077 | 0.100 | 0.108 | 0.124 |  0.023 |    15.000 |    157.000 |     7089.000 |    128.891 |
|   877 |   0 |   621 |   0 |  256 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 1.004 |   58.521 | 0.067 | 0.128 | 0.156 | 0.196 |  0.057 |     0.000 |  11264.000 |  4779586.000 |   5449.927 |
|   563 |   0 |   510 |   0 |   53 |   0 | GET    | /api/isu                      | 0.000 | 1.000 |   36.952 | 0.066 | 0.112 | 0.136 | 0.192 |  0.055 |     3.000 |   4609.000 |  1473543.000 |   2617.306 |
|  5282 |   0 |  4974 |   0 |  308 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 1.004 |  275.022 | 0.052 | 0.092 | 0.112 | 0.160 |  0.044 |     0.000 |   7243.000 | 29909918.000 |   5662.612 |
| 61910 |   0 | 53436 |   0 | 8474 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.000 | 0.484 | 1806.585 | 0.029 | 0.100 | 0.100 | 0.104 |  0.038 |     0.000 |     14.000 |      308.000 |      0.005 |
|   663 |   0 |   507 |   0 |  156 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.540 |   18.456 | 0.028 | 0.056 | 0.072 | 0.120 |  0.037 |    14.000 |    157.000 |    71978.000 |    108.564 |
|  3601 |   0 |  3445 |   0 |  156 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.052 | 1.004 |   94.536 | 0.026 | 0.048 | 0.060 | 0.120 |  0.052 |    14.000 | 135259.000 | 88048535.000 |  24451.134 |
|   145 |   0 |    91 |   0 |   54 |   0 | POST   | /api/signout                  | 0.008 | 0.276 |    2.288 | 0.016 | 0.032 | 0.036 | 0.148 |  0.027 |    21.000 |     21.000 |     1134.000 |      7.821 |
|   671 |   0 |   255 |   0 |  416 |   0 | POST   | /api/auth                     | 0.004 | 0.136 |    9.920 | 0.015 | 0.028 | 0.040 | 0.072 |  0.014 |     0.000 |     19.000 |     4784.000 |      7.130 |
|   330 |   0 |   220 | 108 |    2 |   0 | GET    | /                             | 0.008 | 1.004 |    4.268 | 0.013 | 0.008 | 0.016 | 0.040 |  0.095 |     0.000 |    528.000 |   116160.000 |    352.000 |
