+-------+-----+-------+-----+-------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX |  4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
|   277 |   0 |   180 |   0 |    97 |   0 | GET    | /api/trend                                          | 0.020 | 1.028 |  205.555 | 0.742 | 1.000 | 1.004 | 1.008 |  0.290 |      0.000 |   8437.000 |   1438034.000 |   5191.458 |
|     3 |   0 |     1 |   0 |     0 |   2 | POST   | /initialize                                         | 0.532 | 0.568 |    1.100 | 0.367 | 0.568 | 0.568 | 0.568 |  0.260 |     23.000 |    166.000 |       189.000 |     63.000 |
|    58 |   0 |    54 |   0 |     4 |   0 | POST   | /api/isu                                            | 0.004 | 0.180 |    4.300 | 0.074 | 0.088 | 0.124 | 0.180 |  0.027 |     15.000 |    151.000 |      7571.000 |    130.534 |
|   914 |   0 |   673 |   0 |   241 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph                       | 0.004 | 0.348 |   67.137 | 0.073 | 0.148 | 0.168 | 0.204 |  0.051 |      0.000 |  10789.000 |   5079612.000 |   5557.562 |
|   635 |   0 |   586 |   0 |    49 |   0 | GET    | /api/isu                                            | 0.004 | 0.468 |   39.815 | 0.063 | 0.112 | 0.144 | 0.192 |  0.045 |      0.000 |   4651.000 |   1559790.000 |   2456.362 |
|  5684 |   0 |  5397 |   0 |   287 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+                       | 0.008 | 0.364 |  300.967 | 0.053 | 0.100 | 0.120 | 0.172 |  0.036 |      0.000 |   7303.000 |  32459024.000 |   5710.595 |
| 64084 |   0 | 53806 |   0 | 10278 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+                       | 0.004 | 0.220 | 2170.878 | 0.034 | 0.100 | 0.100 | 0.104 |  0.036 |      0.000 |     14.000 |       252.000 |      0.004 |
|   734 |   0 |   590 |   0 |   144 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+                             | 0.036 | 0.368 |   21.965 | 0.030 | 0.060 | 0.076 | 0.112 |  0.027 |     14.000 |    151.000 |     83990.000 |    114.428 |
|  3824 |   0 |  3679 |   0 |   145 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon                        | 0.008 | 0.408 |  104.524 | 0.027 | 0.056 | 0.068 | 0.112 |  0.025 |      0.000 | 135259.000 | 109234478.000 |  28565.502 |
|   637 |   0 |   253 |   0 |   384 |   0 | POST   | /api/auth                                           | 0.004 | 0.128 |   13.428 | 0.021 | 0.048 | 0.056 | 0.084 |  0.019 |      0.000 |     19.000 |      4416.000 |      6.932 |
|   255 |   0 |   109 |   0 |   146 |   0 | GET    | /api/user/me                                        | 0.004 | 0.156 |    4.540 | 0.018 | 0.044 | 0.060 | 0.108 |  0.022 |     21.000 |     48.000 |      7381.000 |     28.945 |
|   150 |   0 |   100 |   0 |    50 |   0 | POST   | /api/signout                                        | 0.004 | 0.072 |    2.568 | 0.017 | 0.036 | 0.048 | 0.064 |  0.016 |      0.000 |     21.000 |      1050.000 |      7.000 |
|   362 |   0 |   135 | 227 |     0 |   0 | GET    | /assets/vendor.ee7444dd.js                          | 0.008 | 0.052 |    3.456 | 0.010 | 0.024 | 0.032 | 0.040 |  0.010 | 743417.000 | 743417.000 | 100361295.000 | 277241.146 |
|   363 |   0 |   136 | 227 |     0 |   0 | GET    | /assets/favicon.d0f5f504.svg                        | 0.004 | 0.056 |    3.464 | 0.010 | 0.024 | 0.032 | 0.048 |  0.011 |    592.000 |    592.000 |     80512.000 |    221.796 |
|   446 |   0 |   248 | 195 |     3 |   0 | GET    | /                                                   | 0.004 | 0.056 |    3.972 | 0.009 | 0.020 | 0.028 | 0.040 |  0.010 |    528.000 |    528.000 |    131638.000 |    295.152 |
|   362 |   0 |   135 | 227 |     0 |   0 | GET    | /assets/index.23dac98b.js                           | 0.004 | 0.048 |    3.176 | 0.009 | 0.024 | 0.028 | 0.036 |  0.009 |  26667.000 |  26667.000 |   3600045.000 |   9944.876 |
|   362 |   0 |   135 | 227 |     0 |   0 | GET    | /assets/index.144d8ca8.css                          | 0.004 | 0.052 |    2.952 | 0.008 | 0.020 | 0.028 | 0.036 |  0.009 |  19066.000 |  19066.000 |   2573910.000 |   7110.249 |
|   279 |   0 |   134 | 145 |     0 |   0 | GET    | /assets/logo_orange.svg                             | 0.004 | 0.040 |    2.228 | 0.008 | 0.020 | 0.024 | 0.040 |  0.008 |   3288.000 |   3288.000 |    440592.000 |   1579.183 |
|   362 |   0 |   135 | 227 |     0 |   0 | GET    | /assets/logo_white.svg                              | 0.004 | 0.048 |    2.732 | 0.008 | 0.016 | 0.024 | 0.040 |  0.008 |   3285.000 |   3285.000 |    443475.000 |   1225.069 |
|     1 |   0 |     0 |   0 |     1 |   0 | GET    | /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php | 0.004 | 0.004 |    0.004 | 0.004 | 0.004 | 0.004 | 0.004 |  0.000 |     71.000 |     71.000 |        71.000 |     71.000 |
|     1 |   0 |     0 |   0 |     1 |   0 | POST   | /mifs/.;/services/LogService                        | 0.004 | 0.004 |    0.004 | 0.004 | 0.004 | 0.004 | 0.004 |  0.000 |     71.000 |     71.000 |        71.000 |     71.000 |
|     1 |   0 |     0 |   0 |     1 |   0 | POST   | /                                                   | 0.004 | 0.004 |    0.004 | 0.004 | 0.004 | 0.004 | 0.004 |  0.000 |     89.000 |     89.000 |        89.000 |     89.000 |
|     1 |   0 |     0 |   0 |     1 |   0 | GET    | /sitemap.xml                                        | 0.004 | 0.004 |    0.004 | 0.004 | 0.004 | 0.004 | 0.004 |  0.000 |     71.000 |     71.000 |        71.000 |     71.000 |
|    18 |   0 |     6 |  12 |     0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+/condition                       | 0.000 | 0.004 |    0.008 | 0.000 | 0.004 | 0.004 | 0.004 |  0.001 |      0.000 |    528.000 |      3168.000 |    176.000 |
|    12 |   0 |    12 |   0 |     0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+                                 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |    528.000 |    528.000 |      6336.000 |    528.000 |
|     1 |   0 |     0 |   0 |     1 |   0 | GET    | /robots.txt                                         | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     71.000 |     71.000 |        71.000 |     71.000 |
|     1 |   0 |     0 |   0 |     1 |   0 | GET    | /.env                                               | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     71.000 |     71.000 |        71.000 |     71.000 |
|     3 |   0 |     1 |   2 |     0 |   0 | GET    | /register                                           | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |      0.000 |    528.000 |       528.000 |    176.000 |
|     1 |   0 |     0 |   0 |     1 |   0 | GET    | /.well-known/security.txt                           | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     71.000 |     71.000 |        71.000 |     71.000 |
+-------+-----+-------+-----+-------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
