+-------+-----+-------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX |  4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
|     1 |   0 |     1 |   0 |     0 |   0 | POST   | /initialize                   | 0.564 | 0.564 |    0.564 | 0.564 | 0.564 | 0.564 | 0.564 |  0.000 |     23.000 |     23.000 |        23.000 |     23.000 |
|   346 |   0 |   269 |   0 |    77 |   0 | GET    | /api/trend                    | 0.004 | 1.008 |  172.209 | 0.498 | 1.000 | 1.004 | 1.008 |  0.352 |      0.000 |   8425.000 |   2145937.000 |   6202.130 |
|    58 |   0 |    54 |   0 |     4 |   0 | POST   | /api/isu                      | 0.004 | 0.380 |    4.444 | 0.077 | 0.112 | 0.124 | 0.380 |  0.047 |     15.000 |    151.000 |      7475.000 |    128.879 |
|   992 |   0 |   741 |   0 |   251 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.012 | 0.988 |   60.810 | 0.061 | 0.116 | 0.140 | 0.236 |  0.062 |      0.000 |  10289.000 |   5905879.000 |   5953.507 |
|   700 |   0 |   647 |   0 |    51 |   2 | GET    | /api/isu                      | 0.004 | 1.000 |   41.704 | 0.060 | 0.112 | 0.144 | 0.284 |  0.074 |      0.000 |   4656.000 |   1650884.000 |   2358.406 |
| 52626 |   0 | 31864 |   0 | 20754 |   8 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.392 | 2502.882 | 0.048 | 0.104 | 0.104 | 0.108 |  0.046 |      0.000 |     14.000 |       308.000 |      0.006 |
|  6483 |   0 |  6182 |   0 |   298 |   3 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.612 |  296.049 | 0.046 | 0.088 | 0.108 | 0.176 |  0.039 |      0.000 |   7123.000 |  37369113.000 |   5764.170 |
|   775 |   0 |   625 |   0 |   149 |   1 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.516 |   24.409 | 0.031 | 0.060 | 0.100 | 0.268 |  0.048 |     14.000 |    151.000 |     87996.000 |    113.543 |
|  4091 |   0 |  3929 |   0 |   157 |   5 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 1.000 |  114.280 | 0.028 | 0.056 | 0.080 | 0.228 |  0.045 |      0.000 | 135259.000 | 114089827.000 |  27888.005 |
