+-------+-----+-------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX |  4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
|     1 |   0 |     1 |   0 |     0 |   0 | POST   | /initialize                   | 0.616 | 0.616 |    0.616 | 0.616 | 0.616 | 0.616 | 0.616 |  0.000 |    23.000 |     23.000 |       23.000 |     23.000 |
|   311 |   0 |   249 |   0 |    62 |   0 | GET    | /api/trend                    | 0.008 | 1.016 |  153.801 | 0.495 | 1.000 | 1.000 | 1.008 |  0.347 |     0.000 |   8204.000 |  1975508.000 |   6352.116 |
|    55 |   0 |    51 |   0 |     4 |   0 | POST   | /api/isu                      | 0.004 | 0.440 |    6.096 | 0.111 | 0.392 | 0.420 | 0.440 |  0.110 |    15.000 |    154.000 |     7077.000 |    128.673 |
|   561 |   0 |   510 |   0 |    51 |   0 | GET    | /api/isu                      | 0.004 | 0.572 |   30.848 | 0.055 | 0.104 | 0.136 | 0.360 |  0.059 |     3.000 |  10000.000 |  1499963.000 |   2673.731 |
|   926 |   0 |   666 |   0 |   260 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 0.988 |   46.401 | 0.050 | 0.100 | 0.136 | 0.220 |  0.053 |    14.000 |  12399.000 |  5607425.000 |   6055.535 |
|  6437 |   0 |  6129 |   0 |   308 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.008 | 1.712 |  287.601 | 0.045 | 0.084 | 0.104 | 0.184 |  0.048 |     0.000 |   7023.000 | 37228023.000 |   5783.443 |
| 56855 |   0 | 44828 |   0 | 12017 |  10 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.008 | 0.208 | 2172.117 | 0.038 | 0.100 | 0.104 | 0.108 |  0.040 |     0.000 |     14.000 |      322.000 |      0.006 |
|   669 |   0 |   513 |   0 |   156 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.012 | 0.976 |   18.428 | 0.028 | 0.052 | 0.076 | 0.252 |  0.056 |    14.000 |    154.000 |    73289.000 |    109.550 |
|     4 |   0 |     0 |   0 |     4 |   0 | GET    | /favicon.ico                  | 0.012 | 0.044 |    0.104 | 0.026 | 0.044 | 0.044 | 0.044 |  0.013 |    71.000 |     71.000 |      284.000 |     71.000 |
|  3627 |   0 |  3471 |   0 |   156 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.008 | 0.896 |   92.653 | 0.026 | 0.048 | 0.068 | 0.204 |  0.047 |    14.000 | 135259.000 | 86760242.000 |  23920.662 |
|   667 |   0 |   250 |   0 |   417 |   0 | POST   | /api/auth                     | 0.004 | 1.004 |   12.860 | 0.019 | 0.036 | 0.044 | 0.104 |  0.045 |     0.000 |     19.000 |     4784.000 |      7.172 |
|   230 |   0 |    94 |   0 |   136 |   0 | GET    | /api/user/me                  | 0.004 | 0.304 |    3.364 | 0.015 | 0.032 | 0.048 | 0.116 |  0.027 |    21.000 |     44.000 |     6359.000 |     27.648 |
|   140 |   0 |    86 |   0 |    54 |   0 | POST   | /api/signout                  | 0.004 | 0.148 |    1.885 | 0.013 | 0.028 | 0.044 | 0.072 |  0.017 |    21.000 |     21.000 |     1134.000 |      8.100 |
|   439 |   0 |   118 | 311 |    10 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.008 | 0.128 |    4.372 | 0.010 | 0.024 | 0.036 | 0.064 |  0.014 |     0.000 | 743417.000 | 87723916.000 | 199826.688 |
|   486 |   0 |   215 | 267 |     4 |   0 | GET    | /                             | 0.004 | 0.088 |    4.832 | 0.010 | 0.028 | 0.044 | 0.068 |  0.015 |     0.000 |    528.000 |   113804.000 |    234.165 |
