+--------+-----+--------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
| COUNT  | 1XX |  2XX   |  3XX  |  4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
|      3 |   0 |      3 |     0 |     0 |   0 | POST   | /initialize                   | 0.492 | 0.848 |    1.868 | 0.623 | 0.848 | 0.848 | 0.848 |  0.160 |    18.000 |     18.000 |        54.000 |    18.000 |
|    189 |   0 |    177 |     0 |    12 |   0 | POST   | /api/isu                      | 0.004 | 0.512 |   21.572 | 0.114 | 0.252 | 0.308 | 0.484 |  0.092 |    15.000 |    143.000 |     21682.000 |   114.720 |
|     43 |   0 |      0 |     0 |    43 |   0 | GET    | /favicon.ico                  | 0.004 | 0.200 |    3.536 | 0.082 | 0.164 | 0.172 | 0.200 |  0.047 |    24.000 |     24.000 |      1032.000 |    24.000 |
|   2570 |   0 |   2136 |     0 |   434 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.008 | 0.532 |  134.691 | 0.052 | 0.140 | 0.192 | 0.316 |  0.067 |     0.000 |   6195.000 |   7983025.000 |  3106.235 |
|   3179 |   0 |   3088 |     0 |    91 |   0 | GET    | /api/isu                      | 0.036 | 0.528 |  144.289 | 0.045 | 0.108 | 0.160 | 0.296 |  0.057 |     3.000 |   8059.000 |   7125637.000 |  2241.471 |
|  12091 |   0 |  11549 |     0 |   542 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.524 |  544.795 | 0.045 | 0.116 | 0.164 | 0.276 |  0.057 |     0.000 |   6282.000 |  54507118.000 |  4508.074 |
|  28188 |   0 |  28161 |     0 |    27 |   0 | GET    | /api/trend                    | 0.004 | 0.604 | 1246.599 | 0.044 | 0.108 | 0.144 | 0.236 |  0.050 |     0.000 |   7308.000 | 143550472.000 |  5092.609 |
| 148467 |   0 | 131064 |     0 | 17400 |   3 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.232 | 4940.755 | 0.033 | 0.100 | 0.100 | 0.104 |  0.034 |     0.000 |     14.000 |       644.000 |     0.004 |
|  28980 |   0 |   1352 | 27563 |    65 |   0 | GET    | /                             | 0.008 | 0.488 |  919.812 | 0.032 | 0.084 | 0.116 | 0.196 |  0.042 |     0.000 |    528.000 |    714888.000 |    24.668 |
