+-------+-----+-------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  |  4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
|     1 |   0 |     1 |     0 |     0 |   0 | POST   | /initialize                   | 0.500 | 0.500 |    0.500 | 0.500 | 0.500 | 0.500 | 0.500 |  0.000 |    18.000 |     18.000 |        18.000 |    18.000 |
|    58 |   0 |    54 |     0 |     4 |   0 | POST   | /api/isu                      | 0.004 | 0.148 |    4.092 | 0.071 | 0.084 | 0.120 | 0.148 |  0.025 |    15.000 |    134.000 |      6602.000 |   113.828 |
|    11 |   0 |     0 |     0 |    11 |   0 | GET    | /favicon.ico                  | 0.004 | 0.084 |    0.564 | 0.051 | 0.076 | 0.084 | 0.084 |  0.024 |    24.000 |     24.000 |       264.000 |    24.000 |
| 54050 |   0 | 41792 |     0 | 12255 |   3 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.008 | 0.308 | 2597.739 | 0.048 | 0.100 | 0.104 | 0.108 |  0.038 |     0.000 |     14.000 |       434.000 |     0.008 |
|  1415 |   0 |  1107 |     0 |   307 |   1 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 0.300 |   49.929 | 0.035 | 0.076 | 0.100 | 0.140 |  0.033 |    14.000 |   8472.000 |   6738377.000 |  4762.104 |
|  1619 |   0 |  1556 |     0 |    63 |   0 | GET    | /api/isu                      | 0.004 | 0.268 |   48.381 | 0.030 | 0.056 | 0.072 | 0.132 |  0.025 |     0.000 |   3753.000 |   3792611.000 |  2342.564 |
| 11545 |   0 | 11540 |     0 |     5 |   0 | GET    | /api/trend                    | 0.004 | 0.300 |  308.945 | 0.027 | 0.060 | 0.076 | 0.112 |  0.025 |     0.000 |   4638.000 |  50361884.000 |  4362.225 |
| 13106 |   0 | 12740 |     0 |   366 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.348 |  230.069 | 0.018 | 0.040 | 0.056 | 0.092 |  0.020 |     0.000 |   6282.000 |  64251749.000 |  4902.468 |
|   970 |   0 |   474 |     0 |   496 |   0 | POST   | /api/auth                     | 0.008 | 0.132 |   13.748 | 0.014 | 0.032 | 0.044 | 0.084 |  0.016 |     0.000 |     19.000 |      5704.000 |     5.880 |
|  1730 |   0 |  1544 |     0 |   186 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.284 |   24.252 | 0.014 | 0.032 | 0.048 | 0.080 |  0.017 |    14.000 |    134.000 |    189763.000 |   109.690 |
| 11147 |   0 | 10956 |     0 |   190 |   1 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.000 | 0.176 |  151.603 | 0.014 | 0.028 | 0.040 | 0.080 |  0.015 |     0.000 | 135259.000 | 286780992.000 | 25727.190 |
| 11914 |   0 |   602 | 11298 |    14 |   0 | GET    | /                             | 0.000 | 0.288 |  154.129 | 0.013 | 0.032 | 0.048 | 0.080 |  0.018 |     0.000 |    528.000 |    318120.000 |    26.701 |
|   343 |   0 |   279 |     0 |    64 |   0 | POST   | /api/signout                  | 0.004 | 0.084 |    3.432 | 0.010 | 0.024 | 0.032 | 0.064 |  0.012 |     0.000 |     21.000 |      1344.000 |     3.918 |
|   627 |   0 |   288 |     0 |   339 |   0 | GET    | /api/user/me                  | 0.004 | 0.200 |    5.932 | 0.009 | 0.020 | 0.032 | 0.076 |  0.015 |    21.000 |     40.000 |     16495.000 |    26.308 |
|    12 |   0 |    12 |     0 |     0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+           | 0.000 | 0.004 |    0.008 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |   528.000 |    528.000 |      6336.000 |   528.000 |
|    18 |   0 |     6 |    12 |     0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+/condition | 0.004 | 0.004 |    0.012 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |     0.000 |    528.000 |      3168.000 |   176.000 |
| 11655 |   0 |   314 | 11341 |     0 |   0 | GET    | /assets/logo_white.svg        | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |   3285.000 |   1031490.000 |    88.502 |
| 11644 |   0 |   314 | 11330 |     0 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 | 743417.000 | 233432938.000 | 20047.487 |
| 11558 |   0 |   313 | 11245 |     0 |   0 | GET    | /assets/logo_orange.svg       | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |   3288.000 |   1029144.000 |    89.042 |
| 11644 |   0 |   314 | 11330 |     0 |   0 | GET    | /assets/index.23dac98b.js     | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |  26667.000 |   8373438.000 |   719.120 |
|     3 |   0 |     1 |     2 |     0 |   0 | GET    | /register                     | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |       528.000 |   176.000 |
