+-------+-----+-------+-------+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
|     1 |   0 |     1 |     0 |    0 |   0 | POST   | /initialize                   | 0.588 | 0.588 |    0.588 | 0.588 | 0.588 | 0.588 | 0.588 |  0.000 |    18.000 |     18.000 |        18.000 |    18.000 |
|    58 |   0 |    54 |     0 |    4 |   0 | POST   | /api/isu                      | 0.004 | 0.144 |    3.964 | 0.068 | 0.088 | 0.092 | 0.144 |  0.022 |    15.000 |    137.000 |      6600.000 |   113.793 |
|  1725 |   0 |  1347 |     0 |  378 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.048 | 0.284 |   69.416 | 0.040 | 0.088 | 0.104 | 0.156 |  0.035 |     0.000 |   9847.000 |   9628368.000 |  5581.663 |
| 61479 |   0 | 55571 |     0 | 5908 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.272 | 2455.410 | 0.040 | 0.096 | 0.100 | 0.104 |  0.033 |     0.000 |     14.000 |       532.000 |     0.009 |
|  1963 |   0 |  1887 |     0 |   76 |   0 | GET    | /api/isu                      | 0.004 | 0.232 |   49.785 | 0.025 | 0.044 | 0.056 | 0.088 |  0.018 |     0.000 |   3772.000 |   4363973.000 |  2223.114 |
| 18686 |   0 | 18246 |     0 |  440 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.000 | 0.232 |  210.073 | 0.011 | 0.024 | 0.028 | 0.048 |  0.011 |     0.000 |   6162.000 |  93237597.000 |  4989.703 |
|  2087 |   0 |  1862 |     0 |  225 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.192 |   20.564 | 0.010 | 0.020 | 0.024 | 0.048 |  0.012 |    14.000 |    137.000 |    228989.000 |   109.722 |
| 12905 |   0 | 12680 |     0 |  225 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.016 | 0.136 |  120.504 | 0.009 | 0.020 | 0.024 | 0.040 |  0.009 |    14.000 | 135259.000 | 367308730.000 | 28462.513 |
|  1214 |   0 |   614 |     0 |  600 |   0 | POST   | /api/auth                     | 0.004 | 0.100 |    9.680 | 0.008 | 0.016 | 0.020 | 0.036 |  0.008 |     0.000 |     19.000 |      6900.000 |     5.684 |
|   457 |   0 |   380 |     0 |   77 |   0 | POST   | /api/signout                  | 0.008 | 0.156 |    3.096 | 0.007 | 0.016 | 0.020 | 0.032 |  0.010 |     0.000 |     21.000 |      1617.000 |     3.538 |
| 14199 |   0 |   804 | 13395 |    0 |   0 | GET    | /                             | 0.012 | 0.204 |   85.117 | 0.006 | 0.012 | 0.020 | 0.044 |  0.010 |     0.000 |    528.000 |    424512.000 |    29.897 |
| 13729 |   0 | 13729 |     0 |    0 |   0 | GET    | /api/trend                    | 0.004 | 0.120 |   73.456 | 0.005 | 0.012 | 0.016 | 0.028 |  0.007 |  2662.000 |   4641.000 |  61713732.000 |  4495.137 |
|   842 |   0 |   389 |     0 |  453 |   0 | GET    | /api/user/me                  | 0.000 | 0.112 |    4.074 | 0.005 | 0.012 | 0.016 | 0.024 |  0.007 |    21.000 |     36.000 |     22321.000 |    26.510 |
|    12 |   0 |    12 |     0 |    0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+           | 0.000 | 0.004 |    0.004 | 0.000 | 0.000 | 0.004 | 0.004 |  0.001 |   528.000 |    528.000 |      6336.000 |   528.000 |
| 13732 |   0 |   414 | 13318 |    0 |   0 | GET    | /assets/logo_orange.svg       | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |   3288.000 |   1361232.000 |    99.128 |
| 13842 |   0 |   415 | 13427 |    0 |   0 | GET    | /assets/logo_white.svg        | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |   3285.000 |   1363275.000 |    98.488 |
|    18 |   0 |     6 |    12 |    0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+/condition | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |      3168.000 |   176.000 |
| 13842 |   0 |   415 | 13427 |    0 |   0 | GET    | /assets/index.23dac98b.js     | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |  26667.000 |  11066805.000 |   799.509 |
| 13842 |   0 |   415 | 13427 |    0 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 | 743417.000 | 308518055.000 | 22288.546 |
| 13842 |   0 |   415 | 13427 |    0 |   0 | GET    | /assets/favicon.d0f5f504.svg  | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    592.000 |    245680.000 |    17.749 |
|     3 |   0 |     1 |     2 |    0 |   0 | GET    | /register                     | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |       528.000 |   176.000 |
